"","student_id","factor1","factor2","factor3","factor4","factor5","gpa"
"166","27353c8b71986c94588442ac21797553",6.708888889,7.4,7.036666667,8.1,6.383333333,7.25
"167","a3bbcaf116106a5e5495923b91e5e319",7.27125,8.6,8.136666667,6.8,7.765,7.2
"168","58aab5fe7f1b47ac98b4b340b95c8cc9",8.99875,8.98,9.186666667,8.2,9.03,8.23
"169","2432bee87f9c33ffa3a5f54f9ae438c9",7.08625,8.7125,7.893333333,8.1,6.38,9.2
"170","fc6114c63b8601043396e8324918585d",6.194285714,6.8375,7.95,6.616666667,5.9125,6.83
"171","6d60f2e62937cdb53cc64dbeb2b74b24",7.047777778,7.475,6.345,8.65,6.315,7.15
"172","8dd5a4bf799dd01c67b461c64c90c501",7.1075,7.83,7.826666667,6.8,6.42,6.06
"173","ddfb0b1c33e0693faacb6de11dee3ab4",6.718888889,7.5,7.336666667,6,6.386666667,8.65
"174","ffaaa9e995d791c99b08f8a7b0f6f09c",8.66875,9.06,8.51,7.45,8.515,8.66
"175","28b64eead1f851636842eecd658fa234",7.955,8.3,8.236666667,7.6,6.73,8.25
"176","9daf9c1c8556f22968725496bdc72516",6.013333333,7.891666667,8.15,8.6,4.722,8.53
"177","dc3186041d9dbbbf320c8e64a1c38b5b",6.85625,6.58125,7.093333333,6.85,5.315,3.53
"178","dde975e4692836a006adfafc3b1fa99b",7.80625,8.55,7.986666667,7.1,8.1,7.95
"179","fde640b3e324c5a835190ab15613a33b",7.11625,7.133333333,7,7.7,7.05,7.75
"180","97d454aad608df2d8d77b0cff18f23d5",6.195,6.185,7.4575,7,6.03,6.7
"181","99b5880d6b03a4807372d087e76d22de",7.35375,7.15,7.103333333,7.8,6.666666667,7.16
"182","8508198dfe5116edcea22b2b5cbf2ed3",7.59,7.02,7.3,7.75,6.25,7.1
"183","944f13949273bd8e6224896f71534c83",7.724444444,7.5,6.576666667,9.85,7.625,7.15
"184","0b3d6e2f3b66ae3fa8666260de053a21",5.677333333,3.96,6.46,6.483333333,5.5375,6
"185","2a22bfd2a24f34221b9583b163c1c487",6.611111111,7.6,7.57,8.7,7.025,8.7
"186","fed861b091294724cd594e1b4622c549",6.478888889,6.864285714,6.92,6.5,5.75,5.25
"187","9e3435614a560056cab6123f2712fa65",6.147777778,7.275,6.8125,5.7,6.575,6.95
"188","7cac0b09c6587e076a623984d7e0420b",7.365,7.7,7.3,7.75,6.225,8
"189","907bd638c18552d70e1afe3e76bf8cad",6.153636364,7.407142857,7.44,7.35,6.05,6
"190","711c95e8e267871881b66ca11b01e4a2",6.67,2.805555556,7.42,6.6,6.383333333,6.9
"191","7603c2d0340c348eff335a6cb970b859",6.836666667,7.466666667,7.0425,7.7,7.25,7.03
"192","c8b6ee102a3ddbdf5ce48fa45686cbdd",6.423333333,6.161111111,6.883333333,6.9,7.333333333,5.3
"193","fcf210f7731b85f017dda2d217842b3c",6.537777778,7.15,6.666666667,6.55,7.15,6.65
"194","e23b317b123c52037ad80d4783f391df",6.076363636,6.564285714,6.7875,6.15,6.016666667,6.65
"195","6700cccbc1523d48fbb7ee8542492f6e",5.91,6.394444444,7.066,6,5.05,6.3
"196","e0f0264b96f7f67615b4736b760cd5ec",4.907272727,4.183333333,6.1,3.07,5.7625,4.95
"197","43c7597fa46928f987788987eb0119a6",6.572,6.633333333,7.252,6.25,6.65,9
"198","278fb256fa727691064e7a35202c9c5b",6.283,6.891666667,8.075,6.375,6.45,7.5
"199","c09b7d2c3753445dab915b5d291018a8",7.383333333,7.4,6.635,8.7,6.425,9
"200","c006245b7f959a28ae2937d3e7db11ce",5.573888889,4.383333333,6.064,4.925,4.992857143,6
"201","984a39d285abd6076d0e27c27af1b40b",7.0275,6.48,7.05,7.55,6.65,7.55
"202","03a692f8e9312e4b9fdec62cfc510b78",6.948181818,7.033333333,7.54,7.45,6.583333333,7.5
"203","ea8e1dc10202af8f5177c340713a27e0",6.063846154,7.171428571,7.034,6.425,6.15,5.25
"204","3a67e27cd377a332cf1f4581d1758419",5.582307692,5.872222222,5.766666667,7.7,6.0625,6.05
"205","762519aa29f22be0238e74c382ecfdc7",5.119230769,7.2,6.353333333,2.07,6.5,6.2
"206","23bd66b7647fc2be3a509223af17beef",5.860909091,6.864285714,7.518,6.466666667,6.283333333,6.5
"207","54c28975fe91194586c9130aa104b045",5.978181818,5.15,5.871666667,5.4,5.083333333,6.4
"208","fd96d677049eaa4b0ad1aed7bac27711",8.01375,8.325,8.31,6.4,8.025,6
"209","0357c5c59290507c7287fea73bf63727",6.81875,8.06,7.803333333,7.8,7.075,8.45
"210","892f8047cfe223a30a6e8e2d82323dcd",6.574,5.76875,7.2325,7.4,6.025,6.8
"211","073328ca40e56604542a07a502053835",5.840833333,6.485714286,7.345,6.5,5.6125,7.65
"212","26291c20fe9b5c86cb9e74648ad8c3f8",7.9125,7.775,8.36,7.35,7.483333333,8.45
"213","a386253cdf708f6dae3831c80cdbcc60",5.709230769,7.258333333,6.992,7.3,6.2125,6.9
"214","db0a5eab44a6ad0f00442cff74e064d1",6.862222222,5.98125,7.686666667,7.6,7.175,9.43
"215","48c40b5aefabbdcb695b909a102d6fdc",6.1675,7.241666667,7.344,5.65,6.366666667,6.05
"216","f719444b662ead4652fe75b652405b2e",7.328888889,7.6625,7.726666667,7.95,7.15,7.05
"217","c3516b685d1b613e9966cdc363ffed4f",6.983333333,7.583333333,6.7125,8.75,6.55,7.05
"218","0a3d01ee6ec54e5913dbcb363ccbf3bc",6.215555556,5.127777778,7.76,7.775,5.666666667,8.35
"219","a47c80afd7b6c659975e70d5f94cff33",5.392857143,3.45,4.881666667,5.216666667,4.971428571,3.05
"220","f97abc5281766aa0b36ad2a1216025b3",6.8,7.291666667,7.9075,6.375,6.9,5.75
"221","f81b23329f09cc39bbae780209584678",6.595,8.2,7.92,7.2,6.716666667,8.66
"222","59209a6f04c20f577f2feace504670d6",8.25,8.0625,7.67,6.85,7.466666667,8
"223","b7b6001bdf6644329e430f4681847963",7.127777778,7.208333333,6.543333333,9.15,6.675,9.6
"224","df117a2167369670ae97222efb29c5cf",7.406666667,7.83,8.543333333,8.05,7.5,7.7
"225","f78e3fa62ed5678407c2a1328019d75a",6.955555556,7.241666667,7.102,6.7,6.3,6
"226","4d35b7246d8958d8aef9cdc6f4a9d673",7.63625,8.8875,8.25,7.7,6.8,7.95
"227","4c7c29ba77c44ab74034a1bc38b748f7",6.79,6.09375,5.2875,6.225,5.9,5.1
"228","01a9d4b741319a54f0ab6808ee798986",6.170909091,5.8875,6.9125,7.25,6.3,8.76
"229","fcf992b502b6673cff36f64f178b86f6",6.302727273,5.15,6.402,6.175,5.7375,6.25
"230","d1a8f173b8035f019d86c77db11c661e",6.426,3.15,4.8125,6.6,6.1,7.73
"231","19fe44768526d9b204da0151b2cfc149",4.692,6.35,5.886,5.975,5.933333333,10
"232","b562d34815411594debf0668d64f4dff",6.195,8.191666667,6.896,8.5,6.725,8.45
"233","c71a38066102789a693f97e108771935",7.705,8.04,8.045,8.2,7.275,7.6
"234","d785f0c58a8dffac95486393ff73c4b0",7.1325,8.4125,8.01,8.2,6.075,7.8
"235","1befa8b28f8903b70f8d5f45cce13f73",7.098888889,7.625,7.21,6.675,6.1,6.8
"236","46bc88c672a3c7f51dc989b4da28a4a1",6.665,7.633333333,6.336666667,7.75,5.816666667,6.86
"237","36c53f8024dff7e46ed1276301e4b9c1",6.383,6.328571429,7.475,7.1,6.8,7.1
"238","74a5c42797c098174a87fce687938d0a",7.1375,6.971428571,6.7,6.5,7.3,6.8
"239","b67ed7128c015c9111da638c639d24b1",6.7,7.525,7.59,6.575,6.833333333,6.35
"240","a3c5e0709f1521e77f89060d34a70cf2",6.895,6.8625,7.18,7.25,6.35,8
"241","e1d5a53c3183f38d298933789007e629",6.603846154,4.883333333,7.825,2.133333333,6.866666667,8
"242","566107446a8d2ca9877f09c5c9181321",7.45,7.25,7.5375,7.75,7.325,7.2
"243","38722f24bbbf4124e2d0818ab15b405b",5.66,5.1,6.41,6.65,5.983333333,7.8
"244","024b9a79e027e0a540acf777377eef50",6.240909091,6.63125,6.77,5.225,6.533333333,7.8
